company_name,website,category,stage,signal_type,signal_details,job_title,funding_amount,funding_date,relevant_person_name,relevant_person_title,source_name,source_url,context_summary,score,date_found,priority_tier
Rivvun AI,,AI,Seed,funding,"Rivvun AI raises $7.55 m Seed Round to recover enterprise spend, revenue leakage",,$7.55M,2026-06-10,Anand Veerkar,CEO,thehindubusinessline.com,https://www.thehindubusinessline.com/companies/rivvun-ai-raises-755-m-seed-round-to-recover-enterprise-spend-revenue-leakage/article71085392.ece,Raised a $7.55M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Aryon Security,,AI,Series A,funding,Aryon Security Raises $29 Million in Series A Funding,,$29M,2026-06-10,said Aryon Security CEO and,co-founder,securityweek.com,https://www.securityweek.com/aryon-security-raises-29-million-in-series-a-funding/,Raised a $29M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Jedify,,AI,Series A,funding,Jedify raises $24M in Series A funding led by Norwest to build AI-ready data infrastructure,,$24M,2026-06-10,leadership team includes CEO Assaf Henkin,CTO,cryptobriefing.com,https://cryptobriefing.com/jedify-raises-24m-series-a-norwest/ | https://www.manilatimes.net/2026/06/10/tmt-newswire/globenewswire/jedify-raises-24-million-in-series-a-funding-to-build-context-graphs-for-enterprise-ai-agents/2362583,Raised a $24M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,90,2026-06-13,High
Juicebox,,AI,Series A,hiring,Hiring: Content Marketing Manager | Location: San Francisco | YC S22,Marketing Manager / Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/93074 | https://www.workatastartup.com/jobs/93079,Hiring a Marketing Manager at a Series A AI company. This suggests investment in content and market education.,80,2026-06-13,High
Retell AI,,AI,Seed,hiring,Hiring: Content Marketing Manager | Location: San Francisco Bay Area | YC W24,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/88445,Hiring a Marketing Manager at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Model ML,,AI,Seed,hiring,"Hiring: Content Strategist | Location: London, England, GB | YC W24",Content Strategist,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/80698,Hiring a Content Strategist at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Pangea.app,,Cybersecurity,Series A,hiring,"Hiring: Social Media Manager | Location: US / New York, NY, US / Boston, MA, US / Los Angeles, CA, US / San Francisco, CA, US / Austin, TX, US / Miami, FL, US / Raleigh, NC, US / Durham, NC, US / Boulder, CO, US / Remote (US; New York, NY, US; Boston, MA, US; Los Angeles, CA, US; San Francisco, CA, US; Austin, TX, US; Miami, FL, US; Raleigh, NC, US; Durham, NC, US; Boulder, CO, US) | YC W21",Social Media Manager / Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/65184 | https://www.workatastartup.com/jobs/65147,Hiring a Social Media Manager at a Series A Cybersecurity company. This suggests investment in content and market education.,80,2026-06-13,High
Julius,,AI,Series A,hiring,"Hiring: Growth Marketing Manager | Location: San Francisco, CA, US | YC S22",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/76881,Hiring a Marketing Manager at a Series A AI company. This suggests investment in content and market education.,80,2026-06-13,High
Flagright,,AI,Series A,hiring,"Hiring: Technical Content Lead - London | Location: London, UK / Remote (US) | YC W22",Content Lead / Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/94652 | https://www.workatastartup.com/jobs/94421 | https://www.workatastartup.com/jobs/94418 | https://www.workatastartup.com/jobs/94419 | https://www.workatastartup.com/jobs/94411,Hiring a Content Lead at a Series A AI company. This suggests investment in content and market education.,80,2026-06-13,High
Explorex,,Cybersecurity,Series A,hiring,"Hiring: Social Media Manager | Location: Bengaluru, KA, IN | YC S20",Social Media Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/66039,Hiring a Social Media Manager at a Series A Cybersecurity company. This suggests investment in content and market education.,80,2026-06-13,High
Clinikally,,Cybersecurity,Series A,hiring,"Hiring: Senior Social Media Manager  | Location: DL, IN / Delhi, IN | YC S22",Social Media Manager / Brand Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/88703 | https://www.workatastartup.com/jobs/77180,Hiring a Social Media Manager at a Series A Cybersecurity company. This suggests investment in content and market education.,80,2026-06-13,High
Rollstack,,Cybersecurity,Seed,hiring,Hiring: Social Media Manager | Location: US / CA / PT / GB / DE / ES / FR / NL / Remote (US; CA; PT; GB; DE; ES; FR; NL) | YC W23,Social Media Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/92938,Hiring a Social Media Manager at a Seed Cybersecurity company. This suggests investment in content and market education.,80,2026-06-13,High
Emergent,,AI,Seed,hiring,Hiring: Social Marketing Manager | Location: San Francisco | YC S24,Marketing Manager / Video Editor / Brand Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/94945 | https://www.workatastartup.com/jobs/94944 | https://www.workatastartup.com/jobs/96057 | https://www.workatastartup.com/jobs/96056,Hiring a Marketing Manager at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Blink,,Cybersecurity,Series A,hiring,"Hiring: Social Media Marketing Manager | Location: San Francisco, CA, US / San Mateo, CA, US / Redwood City, CA, US / Palo Alto, CA, US / Remote (US) | YC W22",Marketing Manager / Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/83905 | https://www.workatastartup.com/jobs/89410,Hiring a Marketing Manager at a Series A Cybersecurity company. This suggests investment in content and market education.,80,2026-06-13,High
Shimmer,,Cybersecurity,Series A,hiring,Hiring: Social Media Manager & Growth Hacker | Location: Remote (US) | YC S21,Social Media Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/90891,Hiring a Social Media Manager at a Series A Cybersecurity company. This suggests investment in content and market education.,80,2026-06-13,High
Conveo,,AI,Seed,hiring,Hiring: Social Media Manager | Location: New York / Antwerp / London / Remote (US) | YC S24,Social Media Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/90006,Hiring a Social Media Manager at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Intryc,,AI,Seed,hiring,"Hiring: Social Media Manager | Location: San Francisco, CA, US | YC S24",Social Media Manager / Head Of Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/91968 | https://www.workatastartup.com/jobs/79518,Hiring a Social Media Manager at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Rubbrband,,Cybersecurity,Seed,hiring,"Hiring: Creative Strategist, Social Media | Location: San Francisco, CA, US / Remote (US) | YC W23",Creative Strategist,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/94572,Hiring a Creative Strategist at a Seed Cybersecurity company. This suggests investment in content and market education.,80,2026-06-13,High
Topline Pro,,AI,Series A,hiring,"Hiring: Performance Marketing Manager | Location: Brooklyn, New York | YC W21",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/83378,Hiring a Marketing Manager at a Series A AI company. This suggests investment in content and market education.,80,2026-06-13,High
Human Archive,,Data,Seed,hiring,Hiring: Videographer | Location: IN | YC W26,Videographer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/88228,Hiring a Videographer at a Seed Data company. This suggests investment in content and market education.,80,2026-06-13,High
14.ai,,AI,Seed,hiring,"Hiring: Videographer Intern at 14.ai (On-Site – San Francisco, ASAP Start)  | Location: San Francisco, CA, US | YC W24",Videographer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/91343,Hiring a Videographer at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
GetCrux,,AI,Seed,hiring,Hiring: Founding Creative Strategist / CSM | Location: US / Remote (US) | YC W24,Creative Strategist,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/92623,Hiring a Creative Strategist at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
SuperKalam,,AI,Seed,hiring,"Hiring: Creative Strategist - Script (Performance Marketing) - SuperKalam (Bangalore) | Location: Bengaluru, KA, IN / Bengaluru, Karnataka, IN | YC W23",Creative Strategist,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/89358,Hiring a Creative Strategist at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Trueplace,,AI,Series A,hiring,Hiring: Content Strategist - TikTok Script Writer | Location: Remote (US) | YC W22,Content Strategist,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/75090,Hiring a Content Strategist at a Series A AI company. This suggests investment in content and market education.,80,2026-06-13,High
Automat,,AI,Seed,hiring,Hiring: Founding Growth Marketer | Location: San Francisco | YC W23,Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/85180,Hiring a Growth Marketer at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Solve Intelligence,,AI,Seed,hiring,"Hiring: Growth Marketer/GTM | Location: New York, NY, US / London, England, GB | YC S23",Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/92146,Hiring a Growth Marketer at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
telli,,AI,Seed,hiring,Hiring: Founding Growth Marketer | Location: Berlin | YC F24,Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/90455,Hiring a Growth Marketer at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
LiveFlow,,AI,Series A,hiring,"Hiring: Growth Marketing Manager | Location: New York, New York / Remote (US) | YC W21",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/89597 | https://www.workatastartup.com/jobs/89503,Hiring a Marketing Manager at a Series A AI company. This suggests investment in content and market education.,80,2026-06-13,High
GroundControl,,AI,Seed,hiring,"Hiring: Founding Growth Marketer | Location: San Mateo, CA, US | YC P25",Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/90162,Hiring a Growth Marketer at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
AthenaHQ,,AI,Seed,hiring,Hiring: Founding Growth Marketer | Location: SF In-Person | YC W25,Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/93606,Hiring a Growth Marketer at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Roforco,,AI,Series A,hiring,"Hiring: Cracked Growth Marketer | Location: San Francisco, CA, US / New York, NY, US / Remote (US; CA) | YC S22",Growth Marketer,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/76000,Hiring a Growth Marketer at a Series A AI company. This suggests investment in content and market education.,80,2026-06-13,High
Cambio,,AI,Series A,hiring,Hiring: Senior Marketing Manager | Location: San Francisco | YC S22,Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/88960,Hiring a Marketing Manager at a Series A AI company. This suggests investment in content and market education.,80,2026-06-13,High
Prospa,,Fintech,Series A,hiring,"Hiring: Marketing Manager | Location: Lagos, LA, NG / Remote (Lagos, LA, NG) | YC W21",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/66537,Hiring a Marketing Manager at a Series A Fintech company. This suggests investment in content and market education.,80,2026-06-13,High
Sohar Health,,AI,Seed,hiring,"Hiring: Head of Marketing | Location: New York, NY, US / DE, US / NJ, US / FL, US / CT, US / GA, US / VA, US / ME, US / MD, US / MA, US / NC, US / SC, US / Remote (New York, NY, US; DE, US; NJ, US; FL, US; CT, US; GA, US; VA, US; ME, US; MD, US; MA, US; NC, US; SC, US) | YC S23",Head Of Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/93021,Hiring a Head Of Marketing at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Strac,,AI,Series A,hiring,Hiring: Head of Marketing | Location: US / Remote (US) | YC W22,Head Of Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/70821,Hiring a Head Of Marketing at a Series A AI company. This suggests investment in content and market education.,80,2026-06-13,High
Firecrawl,,API,Series A,hiring,"Hiring: Head of Marketing | Location: San Francisco, CA (Hybrid) OR Remote (Americas, UTC-3 to UTC-10) / Remote (US) | YC S22",Head Of Marketing,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/93097,Hiring a Head Of Marketing at a Series A API company. This suggests investment in content and market education.,80,2026-06-13,High
Candid Health,,Automation,Series A,hiring,"Hiring: Lifecycle Marketing Manager | Location: New York, NY, US / Denver, CO, US / San Francisco, CA, US | YC W20",Marketing Manager,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/92774,Hiring a Marketing Manager at a Series A Automation company. This suggests investment in content and market education.,80,2026-06-13,High
a0.dev,,AI,Seed,hiring,"Hiring: Founding Brand and Content Lead (Contract-to-Hire) | Location: San Francisco, CA, US | YC W25",Content Lead,,,,,YC Work at a Startup,https://www.workatastartup.com/jobs/94207,Hiring a Content Lead at a Seed AI company. This suggests investment in content and market education.,80,2026-06-13,High
Code testing startup Antithesis,,AI,Seed,funding,Code testing startup Antithesis raises seed funding at $215 million valuation,,$215M,2024-02-12,,,finance.yahoo.com,https://finance.yahoo.com/news/code-testing-startup-antithesis-raises-100244949.html,Raised a $215M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Marketing SaaS platform Highperformr.ai,,SaaS,Seed,funding,"Marketing SaaS platform Highperformr.ai raises $3.5M seed funding from Venture Highway, Neon",,$3.5M,2024-05-13,,,yourstory.com,https://yourstory.com/2024/05/funding-freshwork-duo-ai-tool-3-million-highperformr-social-media,Raised a $3.5M Seed round for a SaaS platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Marketing SaaS platform HighPerformr,,SaaS,Seed,funding,Marketing SaaS platform HighPerformr raises $3.5 million seed funding,,$3.5M,2024-05-14,,,thehindubusinessline.com,https://www.thehindubusinessline.com/info-tech/marketing-saas-platform-highperformr-raises-35-million-seed-funding/article68171197.ece,Raised a $3.5M Seed round for a SaaS platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Zive AI,,AI,Seed,funding,Zive AI Raises $1M to Transform VC Fund Management With AI Automation,,$1M,2024-10-01,,,finance.yahoo.com,https://finance.yahoo.com/news/zive-ai-raises-1m-transform-110000390.html,Raised a $1M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
AgentSmyth,,Fintech,Seed,funding,"AgentSmyth Raises $8.7M Seed Round From FinTech Collective, Thomson Reuters and Others to Scale Autonomous Agent Platform for Trading and Investment",,$8.7M,2025-06-01,,,finance.yahoo.com,https://finance.yahoo.com/news/agentsmyth-raises-8-7m-seed-130700851.html,Raised a $8.7M Seed round for a Fintech platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Profitable African fintech PalmPay is in talks to,,Fintech,Series A,funding,Profitable African fintech PalmPay is in talks to raise as much as $100M,,$100M,2025-06-05,,,TechCrunch,https://techcrunch.com/2025/06/05/profitable-african-fintech-palmpay-is-in-talks-to-raise-as-much-as-100m/,Raised a $100M Series A round for a Fintech platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Neuromorphic compute startup Unconventional AI,,AI,Seed,funding,Neuromorphic compute startup Unconventional AI raises $475m in seed funding,,$475M,2025-12-08,,,datacenterdynamics.com,https://www.datacenterdynamics.com/en/news/neuromorphic-compute-startup-unconventional-ai-raises-475m-in-seed-funding/,Raised a $475M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
AI cloud startup Nava,,AI,Series A,funding,AI cloud startup Nava raises $22m in Series A funding round,,$22M,2026-04-08,,,datacenterdynamics.com,https://www.datacenterdynamics.com/en/news/ai-cloud-startup-nava-raises-22m-in-series-a-funding-round/,Raised a $22M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
DOJO AI,,AI,Seed,funding,DOJO AI Raises $6M Seed Round to Expand Agentic Marketing Platform,,$6M,2026-04-22,,,cmswire.com,https://www.cmswire.com/digital-marketing/dojo-ai-raises-6m-seed-round-to-expand-agentic-marketing-platform/,Raised a $6M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
How to,,AI,Seed,funding,How to raise seed funding for your startup,,,2026-05-13,,,msn.com,https://www.msn.com/en-us/money/smallbusiness/how-to-raise-seed-funding-for-your-startup/ar-AA237qSj,Announced a Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
GridCARE,,AI,Series A,funding,GridCARE raises $64m in Series A funding round,,$64M,2026-05-15,,,datacenterdynamics.com,https://www.datacenterdynamics.com/en/news/gridcare-raises-64m-in-series-a-funding-round/,Raised a $64M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Exclusive: Geordie AI,,AI,Series A,funding,Exclusive: Geordie AI raises $30 million Series A to be 'air traffic control' for your company's AI agents,,$30M,2026-05-28,,,msn.com,https://www.msn.com/en-us/news/technology/exclusive-geordie-ai-raises-30-million-series-a-to-be-air-traffic-control-for-your-companys-ai-agents/ar-AA24fUZs,Raised a $30M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Vinyl Equity,,Cloud,Series A,funding,Vinyl Equity Raises $20M to Modernise Capital Markets Infrastructure,,$20M,2026-06-09,,,ventureburn.com,https://ventureburn.com/vinyl-equity-raises-20-million/,Raised a $20M Series A round for a Cloud platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Golden Analytics,,AI,Seed,funding,Golden Analytics Raises $14M Seed Extension as AI Analytics Demand Surges,,$14M,2026-06-09,,,ventureburn.com,https://ventureburn.com/golden-analytics-14m-seed-extension/,Raised a $14M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Icertis veterans' enterprise AI startup Rivvun,,AI,Seed,funding,"Icertis veterans' enterprise AI startup Rivvun raises $7.55 million seed round led by Sitara Capital, 3one4",,$7.55M,2026-06-10,,,moneycontrol.com,https://www.moneycontrol.com/news/business/startup/icertis-veterans-enterprise-ai-startup-rivvun-raises-7-55-million-seed-round-led-by-sitara-capital-3one4-13946355.html,Raised a $7.55M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Wealth advisory startup HyperNorm AI,,AI,Seed,funding,Wealth advisory startup HyperNorm AI raises $2.2 Mn in seed funding,,$2.2M,2026-06-10,,,entrackr.com,https://entrackr.com/snippets/wealth-advisory-startup-hypernorm-ai-raises-22-mn-in-seed-funding-12020942,Raised a $2.2M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
TensorWave,,AI,Series A,funding,"TensorWave raises $100M Series A led by AMD Ventures, eyes multi-gigawatt AI infrastructure buildout",,$100M,2026-06-10,,,cryptobriefing.com,https://cryptobriefing.com/tensorwave-raises-100m-amd-ai-infrastructure/,Raised a $100M Series A round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
Former Icertis executives' startup Rivvun AI,,AI,Seed,funding,Former Icertis executives' startup Rivvun AI raises $7.55 Mn in seed funding,,$7.55M,2026-06-11,,,entrackr.com,https://entrackr.com/snippets/former-icertis-executives-startup-rivvun-ai-raises-755-mn-in-seed-funding-12026947,Raised a $7.55M Seed round for a AI platform. This signals active growth and potential need for content and marketing.,80,2026-06-13,High
